Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
GPT-4,128,?,♯,91.2,68.1,59.0,3.1,25.8,44.2,32.8,46.3
GPT-4o-mini,128,?,♯,96.1,68.7,81.9,27.1,42.0,49.3,39.0,57.7
GPT-4o-05,128,?,♯,90.1,72.7,63.0,42.4,57.7,54.3,40.8,60.1
GPT-4o-08,128,?,♯,100.0,71.5,86.8,45.4,58.4,55.5,40.1,65.4
Claude-3.5-Sonnet,200,?,♯,97.2,32.5,89.2,26.3,17.9,12.6,35.6,44.5
Gemini-1.5-Flash,1024,?,♯,93.2,68.0,39.7,40.2,61.2,52.3,38.3,56.1
Gemini-1.5-Pro,2048,?,♯,87.2,71.8,80.4,46.2,68.4,52.6,41.8,64.0
Llama-2-7B-32k,32,7,♭,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.2
Llama-2-7B-32k-Inst,32,7,♯,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.3
Llama-7B-80k,80,7,♭,33.8,50.7,70.8,4.2,9.1,24.2,0.2,27.6
Yarn-Llama-2-7B-64k,64,7,♭,4.9,38.8,76.1,2.0,1.0,16.9,0.1,20.0
Yarn-Llama-2-7B-128k,128,7,♭,12.3,42.3,78.2,2.5,4.4,21.9,1.1,23.2
Llama-3-8B,8,8,♭,0.0,0.0,0.0,0.0,0.0,12.9,0.0,1.8
Llama-3-8B-Inst,8,8,♯,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
Llama-3-8B-θ,8,8,♭,16.9,39.2,73.9,3.5,14.8,1.5,0.5,21.5
Llama-3-8B-Inst-θ,8,8,♯,39.4,48.1,79.3,4.8,14.4,10.9,19.4,30.9
Llama-3-70B-θ,8,70,♭,36.9,55.5,76.6,6.7,20.3,29.6,2.8,32.6
Llama-3-70B-Inst-θ,8,70,♯,48.6,60.4,75.4,7.6,36.2,26.6,34.6,41.3
Llama-3.1-8B,128,8,♭,86.6,61.5,75.7,2.6,22.7,35.7,0.0,40.7
Llama-3.1-8B-Inst,128,8,♯,99.2,65.8,81.4,13.1,32.8,44.6,26.7,52.0
Llama-3.1-70B,128,70,♭,92.9,65.2,80.7,9.7,36.9,45.0,4.1,47.8
Llama-3.1-70B-Inst,128,70,♯,98.5,69.5,81.6,29.8,41.0,54.0,32.9,58.2
Llama-3.3-70B-Inst,128,70,♯,98.5,69.2,82.1,31.0,42.3,52.2,32.9,58.3
Llama-3.2-1B,128,1,♭,43.4,35.5,75.4,2.9,9.4,14.4,0.3,25.9
Llama-3.2-1B-Inst,128,1,♯,49.2,37.9,75.0,2.8,3.9,18.5,10.6,28.3
Llama-3.2-3B,128,3,♭,65.8,55.3,86.7,3.2,6.9,28.1,0.0,35.1
Llama-3.2-3B-Inst,128,3,♯,64.1,60.1,84.0,7.6,3.9,32.0,25.3,39.6
Llama-4-17B,128,17,♭,48.4,52.4,84.7,4.8,13.2,29.2,0.7,33.3
Llama-4-17B-Inst,128,17,♯,56.0,50.7,80.8,7.5,14.6,40.7,29.8,40.0
Mistral-7B-Inst-v0.1,8,7,♯,6.6,38.6,44.6,1.0,0.0,14.7,11.0,16.6
Mistral-7B-Inst-v0.2,32,7,♯,28.5,40.6,64.3,2.3,1.2,15.4,16.0,24.0
Mistral-7B-v0.3,32,7,♭,25.6,42.9,80.9,1.3,0.4,21.5,1.7,24.9
Mistral-7B-Inst-v0.3,32,7,♯,34.7,47.4,81.2,2.4,2.5,22.5,10.8,28.8
Ministral-8B-Inst,128,8,♯,30.9,47.1,82.8,0.7,0.0,23.7,14.4,28.5
Mistral-Nemo,128,12,♭,38.4,49.8,82.2,2.3,0.0,31.1,4.4,29.7
Mistral-Nemo-Inst,128,12,♯,30.1,47.1,82.2,1.1,0.0,21.4,19.3,28.7
MegaBeam-Mistral,512,7,♯,94.2,59.7,83.8,4.5,25.6,34.9,29.0,47.4
Yi-6B-200k,200,6,♭,38.3,39.7,78.9,0.8,5.5,28.7,3.4,27.9
Yi-9B-200k,200,9,♭,70.5,55.5,68.5,5.0,15.6,36.7,3.2,36.4
Yi-34B-200k,200,34,♭,82.9,63.0,82.8,1.5,27.2,26.2,12.1,42.2
Yi-1.5-9B-32k,32,9,♭,16.3,35.9,74.9,0.6,0.2,13.1,9.2,21.5
Phi-3-mini-128k-Inst,128,4,♯,95.4,56.3,76.2,2.1,14.0,33.9,25.0,43.3
Phi-3-small-128k-Inst,128,7,♯,74.6,58.5,82.3,3.5,16.9,41.8,24.4,43.2
Phi-3-med-128k-Inst,128,14,♯,69.3,57.8,73.0,5.3,12.9,18.4,27.6,37.7
Phi-3.5-mini-Inst,128,4,♯,91.9,52.5,78.0,2.0,14.2,30.6,24.9,42.0
Qwen2-7B,32,7,♭,49.5,49.2,73.6,2.6,6.3,34.1,8.1,31.9
Qwen2-7B-Inst,32,7,♯,46.2,51.1,66.0,3.5,8.6,35.3,23.9,33.5
Qwen2-57B,32,14,♭,28.8,49.2,81.4,2.0,8.3,35.2,18.2,31.9
Qwen2-57B-Inst,32,14,♯,26.6,54.7,84.4,3.9,6.5,35.2,25.0,33.8
Qwen2.5-1.5B,32,1.5,♭,19.8,30.0,67.5,0.9,4.7,21.4,2.1,20.9
Qwen2.5-1.5B-Inst,32,1.5,♯,29.6,36.6,54.5,1.2,2.3,19.8,14.4,22.6
Qwen2.5-3B,32,3,♭,33.4,39.3,75.6,2.2,5.9,24.2,12.0,27.5
Qwen2.5-3B-Inst,32,3,♯,38.7,40.5,77.9,3.8,13.5,25.0,21.5,31.6
Qwen2.5-7B,128,7,♭,45.6,44.0,78.4,2.0,1.9,28.2,12.6,30.4
Qwen2.5-7B-Inst,128,7,♯,47.8,46.4,79.4,4.9,11.3,21.8,28.2,34.2
Qwen2.5-72B-Inst,128,72,♯,71.4,63.1,83.6,25.1,41.0,41.5,34.1,51.4
ProLong,512,8,♯,99.4,65.7,83.2,5.8,31.1,40.8,26.0,50.3
Gemma-3-12B,128,12,♭,96.1,63.4,84.7,2.4,19.8,36.1,0.2,43.2
Gemma-3-12B-Inst,128,12,♯,36.8,61.3,72.8,1.4,36.3,44.3,32.1,40.7
